Name,index,Founding Year,Insignia,Location,Lat,Long
Salt City Riders,salt,2004,images/insignias/salt_city_riders.png,"Syracuse, NY",,
Alliance MC,alliance,1993,images/insignias/alliance_mc.png,"Amityville, NY",,
Ironheads MC ,ironheads,2009,images/insignias/ironheads.png,"Long Island, NY",,
Ball and Chain,ball,2017,images/insignias/ball_and_chain.png,"Newburgh, NY",,
Celtic MCC,celtic,1991,images/insignias/celtic.png,"Bronx, NY",,
Chai Riders,chai,1988,images/insignias/chai.png,"New York, NY",,
"Indian Motorcycle Riders Group of Mineola, Inc.",indian,1976,images/insignias/mineola.png,"Mineola, NY",,
Brooklyn Easy Riders,brooklyn,2012,images/insignias/brooklyn_easyriders.png,"Brooklyn, NY",,
NYC Fire Riders,nyc,1985,images/insignias/fire_riders.png,"New York, NY",,
Fidelium MC,fidelium,N/A,images/insignias/fidelium.png,"Haverstraw, NY",,
Leathernecks,leathernecks,N/A,images/insignias/leathernecks.png,"South Glens Falls, NY",,
Steel Horses MC,steel,1999,images/insignias/steel_horses.png,"Brooklyn, NY",,
Ramapo MC,ramapo,1938,images/insignias/ramapo.png,"Congers, NY",,
Sirens MC,sirens,1986,images/insignias/sirens.png,"New York, NY","208 W 13th St, New York, NY 10011",
Nassau Wings MC,nassau,1986,images/insignias/nassau_wings.png,"Nassau County, NY",,
Florian Knights,florian,2016,images/insignias/florian.png,"Slate Hill, NY",,
Empire City MC,empire,1964,images/insignias/empire_city.png,"New York, NY",,
Lost Wheels MC,lost,1974,images/insignias/lostwheels.png,"Hudson Valley, NY",,
Brotherhood MC,brotherhood,1974,images/insignias/brotherhood.png,Rochester NY,,
Bikers of Brooklyn,bikers,2010,images/insignias/bikers_brooklyn.png,"Brooklyn, NY",,
Adirondack Riders,adirondack,~1980,images/insignias/adirondack_riders.png,"Adirondack, NY",491 Glens Halls,
Yonkers MC,yonkers,1879,images/insignias/yonkers.png,"Yonkers, NY",,
Underground MC ,underground,N/A,images/insignias/underground.png,Bloomingburg NY,,
Ithaca Sport Riders,ithaca,N/A,images/insignias/ithaca_sport.png,"Ithaca, NY",,
Redrum MC,redrum,2006,images/insignias/redrum.png,"Brooklyn, NY",,
The Chosen Few MC,chosen,1967,images/insignias/chosen_few.png,"Buffalo, NY",,