Category,Job
Business,Business owner
Business,Entrepreneur 
Business,VP
Business,Sales
Creative,Retired Photographer
Creative,Author
Creative,Lobbyist (Music industry)
Education,Instructor/Observer 
Education,Student
Education,Student
Education,Teacher
Education,Student
Education,Research 
Engineering,Engineer
Finance,Bookkeeper
Government,Supervisor of Operations Westchester County  Water Resource Recovery Facility
Government,Census enumerator
Hospitality,Server
Human Services,School psychologist 
Human Services,Social Worker
Human Services,Psychologist
IT,IT Professional
IT,IT Professional
IT,IT Manager
IT,Solutions Architect
IT,Software Engineer 
IT,Technology Management
IT,Business
IT,Computer Professional
IT,Computer programmer
Law,Retired trademark and copyright attorney 
Law,Attorney
Law,Lawyer
Medicine,Dermatology practice manager
Medicine,Transporter  
Medicine,Mobile Intensive Care Paramedic 
Medicine,Retired MD
Occupation,Occupation?
Pilot,Pilot
Real Estate,Commercial Real Estate Management & Brokerage
Real Estate,Real Estate
Retired,Retired
Retired,Retired 
Retired,Retired
Trade,CNC Machinist 
Trade,Wood worker
Transportation,Retired Transportation Supervisor